"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2023/01/12,Saint-Liguori,200,To discuss constituency issues with stakeholders,"Gala, reception or ceremony",M0326690,Rendez-vous de la gestion agricole de Lanaudière,110.00,"Thériault, Luc"
2023/01/23,Mascouche,40,To discuss constituency issues with stakeholders,Hosting a meeting,M0330945,Costco,91.03,"Thériault, Luc"
2023/02/05,Saint-Calixte,50,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330946,Halte Jardinière,43.96,"Thériault, Luc"
2023/02/05,Saint-Calixte,50,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330945,Costco,70.42,"Thériault, Luc"
2023/02/05,Saint-Calixte,50,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330945,Maxi,7.78,"Thériault, Luc"
2023/02/11,Saint-Liguori,1,To celebrate a significant event,"Gala, reception or ceremony",M0336198,Fondation HOREB Saint-Jacques (,125.00,"Thériault, Luc"
2023/02/12,Saint-Roch-de-l'Achigan,40,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330946,Halte Jardinière,32.97,"Thériault, Luc"
2023/02/19,Mascouche,60,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330946,Halte Jardinière,32.97,"Thériault, Luc"
2023/02/19,Mascouche,60,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330946,Halte-Jardinière,10.99,"Thériault, Luc"
2023/03/05,Saint-Jacques,50,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0332172,Halte Jardinière,65.94,"Thériault, Luc"
2023/03/05,Saint-Jacques,50,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0332172,Métro,18.99,"Thériault, Luc"
2023/03/05,Saint-Jacques,50,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0332172,Maxi,34.66,"Thériault, Luc"
2023/03/05,Saint-Jacques,50,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0332172,Tim Hortons,39.98,"Thériault, Luc"
2023/03/09,Saint-Calixte,40,To celebrate a significant event,Community activity or event,M0332614,Cercle des Fermières de Saint-Calixte,15.00,"Thériault, Luc"
2023/03/11,L'Épiphanie,1,To celebrate a significant event,Community activity or event,M0332712,Fadoq L'Épiphanie,25.00,"Thériault, Luc"
2023/03/18,Mascouche,0,To attend staff events including training,Hosting a meeting,M0334523,Costco,90.53,"Thériault, Luc"
2023/03/18,Mascouche,1,To celebrate a significant event,Community activity or event,M0334781,Fadoq-Cercle d'Or de Mascouche,70.00,"Thériault, Luc"
2023/03/18,Mascouche,250,To celebrate a significant event,Community activity or event,M0334269,FADOQ - Cerlce d'Or de Mascouche,35.00,"Thériault, Luc"
2023/03/22,Saint-Liguori,125,To discuss constituency issues with stakeholders,Community activity or event,M0334302,Centre d'action bénévole Émilie-Gamelin,55.00,"Thériault, Luc"
2022/10/11,Sainte-Catherine (Roussillon),50,To meet constituents,"Gala, reception or ceremony",M0325914,Chambre de Commerce et d'Industrie du Grand Roussillon,70.00,"Therrien, Alain"
2022/11/25,Sainte-Catherine (Roussillon),3,To discuss constituency issues with stakeholders,Hosting a meeting,M0324641,ChinChine,87.08,"Therrien, Alain"
2022/12/02,Sainte-Catherine (Roussillon),1,To meet constituents,"Gala, reception or ceremony",M0324615,Âge d'or kateri,70.00,"Therrien, Alain"
2022/12/05,Sainte-Catherine (Roussillon),1,To plan Member's priorities and activities,Hosting a meeting,M0324641,ChinChine,44.16,"Therrien, Alain"
2022/12/16,Delson,2,To plan Member's priorities and activities,Hosting a meeting,M0324641,Mikes Delson,53.57,"Therrien, Alain"
2022/12/20,Brossard,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0324641,Portovino,100.18,"Therrien, Alain"
2022/12/21,Sainte-Catherine (Roussillon),1,To exchange with dignitaries,Hosting a meeting,M0324641,ChinChine,48.46,"Therrien, Alain"
2022/12/22,La Prairie,5,To plan Member's priorities and activities,Hosting a meeting,M0324641,BACARO,236.20,"Therrien, Alain"
2022/12/23,Sainte-Catherine (Roussillon),6,To discuss constituency issues with stakeholders,Hosting a meeting,M0329960,Chinchine,157.00,"Therrien, Alain"
2023/01/11,Sainte-Catherine (Roussillon),3,To plan Member's priorities and activities,Hosting a meeting,M0329960,ChinChine,81.84,"Therrien, Alain"
2023/02/03,Saint-Constant,2,To exchange with dignitaries,Hosting a meeting,M0329960,Eggspress Saint-Constant,37.52,"Therrien, Alain"
2023/02/03,Delson,4,To plan Member's priorities and activities,Hosting a meeting,M0329960,Mikes Delson,130.99,"Therrien, Alain"
2023/02/17,Delson,3,To plan Member's priorities and activities,Hosting a meeting,M0334793,Mikes Delson,98.05,"Therrien, Alain"
2023/02/21,Delson,3,To plan Member's priorities and activities,Hosting a meeting,M0334793,Mikes Delson,96.25,"Therrien, Alain"
2023/03/02,Delson,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0334793,Le Duo Choc,19.60,"Therrien, Alain"
2023/03/02,Delson,0,To plan Member's priorities and activities,Hosting a meeting,M0334793,IGA,4.78,"Therrien, Alain"
2023/03/03,Sainte-Catherine (Roussillon),3,To discuss constituency issues with stakeholders,Hosting a meeting,M0334793,Cora,76.04,"Therrien, Alain"
2023/03/10,Delson,3,To plan Member's priorities and activities,Hosting a meeting,M0334793,Mikes Delson,91.85,"Therrien, Alain"
2023/03/13,Sainte-Catherine (Roussillon),3,To plan Member's priorities and activities,Hosting a meeting,M0334793,ChinChine,84.62,"Therrien, Alain"
2023/03/14,Delson,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0334793,Mikes Delson,75.74,"Therrien, Alain"
2023/03/17,Delson,1,To meet visitors of Member’s office,Hosting a meeting,M0334793,Starbucks,10.40,"Therrien, Alain"
2022/08/22,Lethbridge,650,To meet constituents,Community activity or event,M0335551,Ben's Quality Meats,600.00,"Thomas, Rachael"
2022/12/10,Lethbridge,600,To meet constituents,Hosting a town hall or community event,M0324066,Save on Foods,28.62,"Thomas, Rachael"
2022/12/10,Lethbridge,500,To meet constituents,Hosting a reception or open house,M0324066,Safeway,14.12,"Thomas, Rachael"
2022/12/10,Lethbridge,500,To meet constituents,Hosting a reception or open house,M0324066,Lakeview Bakery,52.50,"Thomas, Rachael"
2022/12/10,Lethbridge,500,To meet constituents,Hosting a reception or open house,M0324066,Costco,249.77,"Thomas, Rachael"
2022/12/10,Lethbridge,500,To meet constituents,Hosting a reception or open house,M0324066,Wholesale Club,121.41,"Thomas, Rachael"
2023/02/04,Lethbridge,9,To celebrate a significant event,Hosting a staff event,M0330787,New Taste of India,150.22,"Thomas, Rachael"
2023/02/04,Lethbridge,9,To celebrate a significant event,Hosting a staff event,M0330787,DQ Grill & Chill,36.48,"Thomas, Rachael"
2023/02/09,Ottawa,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0330787,Bridgehead,49.98,"Thomas, Rachael"
2023/02/11,Picture Butte,2,To celebrate a significant event,Community activity or event,M0329958,PIcture Butte & District Chamber of Commerce,135.00,"Thomas, Rachael"
2023/02/11,Lethbridge,7,To meet constituents,Hosting a meeting,M0330787,Safeway,16.04,"Thomas, Rachael"
2023/02/23,Lethbridge,1,To meet constituents,Hosting a meeting,M0331089,Firestone Restaurant and Bar,44.59,"Thomas, Rachael"
2023/02/23,Lethbridge,1,To meet constituents,Hosting a meeting,M0331089,Costco,109.52,"Thomas, Rachael"
2023/02/25,Lethbridge,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0331089,Lighthouse Japanese Restaurant,54.20,"Thomas, Rachael"
2023/03/02,Lethbridge,2,To celebrate a significant event,"Gala, reception or ceremony",M0332307,Rotary Ag Scholarship,142.00,"Thomas, Rachael"
2022/09/23,St. John's,79,To meet constituents,Community activity or event,M0324280,Sobeys,24.95,"Thompson, Joanne"
2022/10/13,St. John's,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0324280,The Old Dublin Bakery,40.00,"Thompson, Joanne"
2022/10/13,St. John's,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0324280,Dominion,37.32,"Thompson, Joanne"
2022/10/14,St. John's,79,To meet constituents,Community activity or event,M0324280,Sobeys,34.93,"Thompson, Joanne"
2022/11/02,St. John's,57,To celebrate a significant event,Hosting a town hall or community event,M0330473,Sobeys,30.54,"Thompson, Joanne"
2023/02/21,St. John's,7,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330473,Domino's Pizza,65.41,"Thompson, Joanne"
2023/02/25,St. John's,7,To celebrate a significant event,Hosting a town hall or community event,M0330473,Loblaws & Sobeys,32.74,"Thompson, Joanne"
2023/02/25,St. John's,7,To celebrate a significant event,Hosting a town hall or community event,M0330473,Sobeys,70.15,"Thompson, Joanne"
2023/03/17,St. John's,30,To meet constituents,Hosting a reception or open house,M0337185,Greco Pizza,59.97,"Thompson, Joanne"
2023/03/17,St. John's,30,To meet constituents,Hosting a reception or open house,M0337185,Dollarama,30.25,"Thompson, Joanne"
2022/04/01,Saskatoon,0,To meet visitors of Member’s office,Hosting a meeting,M0328540,Van Houtte Coffee Services,252.65,"Tochor, Corey"
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0335141,Costco Canada,40.11,"Tochor, Corey"
2022/05/12,Saskatoon,20,To meet constituents,Hosting a meeting,M0334441,Van Houtte Coffee Services,301.68,"Tochor, Corey"
2022/12/19,Saskatoon,75,To meet constituents,Hosting a town hall or community event,M0324258,Sobeys ,48.68,"Tochor, Corey"
2022/12/22,Saskatoon,4,To plan Member's priorities and activities,Hosting a meeting,M0326641,Las Palapas Resort Grill,96.93,"Tochor, Corey"
2023/01/09,Yorkton,0,To discuss constituency issues with stakeholders,Community activity or event,M0326602,eventbrite,32.84,"Tochor, Corey"
2023/01/12,Saskatoon,60,To meet constituents,Hosting a town hall or community event,M0326439,Tim Hortons,19.58,"Tochor, Corey"
2022/04/01,Moose Jaw,0,To meet visitors of Member’s office,Hosting a meeting,M0337561,Walmart,54.87,"Tolmie, Fraser"
2022/04/01,Moose Jaw,0,To meet visitors of Member’s office,Hosting a meeting,M0331488,Costco,71.27,"Tolmie, Fraser"
2022/04/01,Moose Jaw,0,To meet visitors of Member’s office,Hosting a meeting,M0326927,Coop,38.49,"Tolmie, Fraser"
2022/12/05,Moose Jaw,250,To meet constituents,Hosting a reception or open house,M0324113,Coop,42.39,"Tolmie, Fraser"
2022/12/19,Moose Jaw,50,To meet constituents,Community activity or event,M0324544,Coop,42.39,"Tolmie, Fraser"
2022/12/20,Moose Jaw,75,To meet constituents,Hosting a reception or open house,M0324544,Coop,84.78,"Tolmie, Fraser"
2022/12/21,Moose Jaw,70,To meet constituents,Hosting a town hall or community event,M0324544,Coop,84.78,"Tolmie, Fraser"
2022/12/22,Moose Jaw,100,To meet constituents,Hosting a reception or open house,M0324544,Coop,127.17,"Tolmie, Fraser"
2022/12/31,Regina,0,To celebrate a significant event,"Gala, reception or ceremony",M0328830,Depot Fallen Peace Officer Fund,60.00,"Tolmie, Fraser"
2023/03/01,Moose Jaw,3,To meet constituents,Hosting a meeting,M0331598,Cosmo Senior Center,40.00,"Tolmie, Fraser"
2023/03/14,Moose Jaw,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0333411,Bobby's Place,101.31,"Tolmie, Fraser"
2023/03/15,Moose Jaw,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0333411,Saigon75 Restaurant,66.01,"Tolmie, Fraser"
2023/03/18,Moose Jaw,52,To meet constituents,Hosting a reception or open house,M0334392,Royal Canadian Legion #59,41.08,"Tolmie, Fraser"
2023/03/18,Moose Jaw,52,To meet constituents,Hosting a reception or open house,M0333647,Charlotte's Catering,752.07,"Tolmie, Fraser"
2023/04/03,Ottawa,1,To celebrate a significant event,"Gala, reception or ceremony",M0335539,Naval Association of Canada,140.00,"Tolmie, Fraser"
2022/04/01,Montréal,83,To meet constituents,Hosting a reception or open house,M0319177,Patro Villeray Centre de loisirs et d'entraide,498.00,"Trudeau, Justin"
2022/11/23,Montréal,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0335813,Lillie's Bakery,16.09,"Trudeau, Justin"
2022/12/08,Montréal,6,To meet constituents,Hosting a meeting,M0335813,Deli Plus,61.26,"Trudeau, Justin"
2022/12/20,Montréal,8,To plan Member's priorities and activities,Hosting a staff event,M0335624,Restaurant Marven's,212.75,"Trudeau, Justin"
2023/01/27,Montréal,5,To meet visitors of Member’s office,Hosting a staff event,M0335813,Deli Plus,57.42,"Trudeau, Justin"
2023/02/09,Montréal,4,To meet constituents,Hosting a meeting,M0335813,Deli Plus,44.07,"Trudeau, Justin"
2023/02/27,Montréal,8,To meet constituents,Hosting a meeting,M0335813,Deli Plus,101.28,"Trudeau, Justin"
2023/03/01,Montréal,0,To meet constituents,Community activity or event,M0335624,Carrefour Populaire St-Michel,40.00,"Trudeau, Justin"
2023/03/29,Montréal,8,To meet constituents,Hosting a meeting,M0335813,Deli Plus,114.58,"Trudeau, Justin"
2022/07/01,Whitby,100,To celebrate a significant event,Hosting a town hall or community event,M0337026,COSTCO,74.97,"Turnbull, Ryan"
2022/12/21,Whitby,3,To plan Member's priorities and activities,Hosting a staff event,M0336947,The Food and Art Cafe,123.35,"Turnbull, Ryan"
2023/02/08,Ottawa,3,To attend staff events including training,Hosting a meeting,M0329507,Shoppers,64.95,"Turnbull, Ryan"
2023/02/21,Whitby,7,To meet visitors of Member’s office,Hosting a meeting,M0330524,No Frills,20.95,"Turnbull, Ryan"
2023/03/04,Whitby,0,To celebrate a significant event,"Gala, reception or ceremony",M0331311,Abilities Centre Gala,140.00,"Turnbull, Ryan"
2023/03/29,Whitby,5,To meet visitors of Member’s office,Hosting a staff event,M0335349,Costco,45.96,"Turnbull, Ryan"
2023/03/31,Ottawa,3,To meet visitors of Member’s office,Hosting a meeting,M0336581,Shoppers,113.31,"Turnbull, Ryan"
2022/10/03,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0321566,Milestones,63.14,"Uppal, Tim"
2022/10/19,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0321566,Parliamentary Restaurant ,93.18,"Uppal, Tim"
2022/10/19,Ottawa,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0321566,Pure Kitchen Marin,91.95,"Uppal, Tim"
2022/11/04,Edmonton,2,To celebrate a significant event,"Gala, reception or ceremony",M0321566,Mill Woods Seniors Association ,140.00,"Uppal, Tim"
2022/11/12,Edmonton,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0321566,Tiffin on 50th,50.35,"Uppal, Tim"
2022/11/30,Ottawa,35,"To discuss business of the House, caucus and committees",Hosting a meeting,M0329035,Desi Khabay,230.09,"Uppal, Tim"
2022/12/07,Edmonton,30,To discuss constituency issues with stakeholders,Hosting a meeting,M0329035,Tim Hortons,75.13,"Uppal, Tim"
2022/12/12,Ottawa,160,To celebrate a significant event,Hosting a town hall or community event,M0329035,East India Company,590.00,"Uppal, Tim"
2022/12/15,Edmonton,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0329035,Tokyo Express,51.84,"Uppal, Tim"
2022/12/20,Edmonton,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0329035,Moxies,87.42,"Uppal, Tim"
2022/12/21,Edmonton,7,To discuss constituency issues with stakeholders,Hosting a meeting,M0329035,Blanco South Common,206.91,"Uppal, Tim"
2022/12/31,Edmonton,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0329035,Starbucks,36.25,"Uppal, Tim"
2023/01/05,Ottawa,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0329035,Tim Hortons,31.24,"Uppal, Tim"
2023/01/25,Ottawa,7,To attend staff events including training,Hosting a staff event,M0332130,L3B Sparks,221.23,"Uppal, Tim"
2023/01/26,Ottawa,6,To attend staff events including training,Hosting a meeting,M0332130,McDonalds,23.78,"Uppal, Tim"
2023/02/03,Edmonton,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0332130,Buco Pizzeria ,71.59,"Uppal, Tim"
2023/02/12,Edmonton,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0332825,IHOP,44.86,"Uppal, Tim"
2023/02/27,Edmonton,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0332825,Bar Burrito,24.39,"Uppal, Tim"
2022/04/01,Mississauga,0,To meet visitors of Member’s office,Hosting a meeting,M0324360,Loblaws,32.88,"Valdez, Rechie"
